unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
OCC1=CC(=O)C=CO1,OCC1CC(O)CCO1,73.99884233,3,4.58
CCC1=CC(C)=C(C)O1,CCC1CC(C)C(C)O1,64.47309075,2,3.15
CCC1=CC(O)=C(C)O1,CCC1CC(O)C(C)O1,72.10804475,2,3.1
COC1=CC(C)=C(C)O1,COC1CC(C)C(C)O1,82.1702735,2,3.1
COC1=CC(O)=C(C)O1,COC1CC(O)C(C)O1,95.7756145,2,3.05
CCC1=CC(C=O)=CO1,CCC1CC(CO)CO1,66.115341,3,4.65
COC1=CC(C=O)=CO1,COC1CC(CO)CO1,78.30466233,3,4.58
CCC1=CC(CO)=CO1,CCC1CC(CO)CO1,71.592134,2,3.1
CCC1=COC(CO)=C1,CCC1COC(CO)C1,74.1519965,2,3.1
COC1=CC(CO)=CO1,COC1CC(CO)CO1,88.631629,2,3.05
COC1=COC(CO)=C1,COC1COC(CO)C1,79.23627725,2,3.05
CC1=CC=C(CO)C=C1,CC1CCC(CO)CC1,62.15696217,3,4.72
CCC1=CC=C(O)C=C1,CCC1CCC(O)CC1,58.9293475,3,4.72
COC1=CC=C(C)C=C1,COC1CCC(C)CC1,61.3290545,3,4.72
COC1=CC=C(O)C=C1,COC1CCC(O)CC1,60.04430983,3,4.65
OCC1=CC=C(O)C=C1,OCC1CCC(O)CC1,60.5414045,3,4.65
CCC1=CC=C(CC)O1,CCC1CCC(CC)O1,68.457287,2,3.15
CCC1=CC=C(CO)O1,CCC1CCC(CO)O1,73.387976,2,3.1
CCC1=CC=C(OC)O1,CCC1CCC(OC)O1,88.206298,2,3.1
COC1=CC=C(CO)O1,COC1CCC(CO)O1,92.99127175,2,3.05
OCC1=CC=C(CO)O1,OCC1CCC(CO)O1,80.93235025,2,3.05
CCC1=CC=CC(C)=C1,CCC1CCCC(C)C1,61.44632683,3,4.79
CCC1=CC=CC(O)=C1,CCC1CCCC(O)C1,59.69774383,3,4.72
COC1=CC=CC(C)=C1,COC1CCCC(C)C1,60.6936835,3,4.72
COC1=CC=CC(O)=C1,COC1CCCC(O)C1,58.17495383,3,4.65
OCC1=CC=CC(O)=C1,OCC1CCCC(O)C1,61.50058717,3,4.65
CC1=CC=CC=C1CO,CC1CCCCC1CO,60.554532,3,4.72
CCC1=CC=CC=C1C,CCC1CCCCC1C,58.26684633,3,4.79
CCC1=CC=CC=C1O,CCC1CCCCC1O,57.6901115,3,4.72
COC1=CC=CC=C1C,COC1CCCCC1C,59.2496585,3,4.72
COC1=CC=CC=C1O,COC1CCCCC1O,53.99253233,3,4.65
OCC1=CC=CC=C1O,OCC1CCCCC1O,59.72312367,3,4.65
CCC1=COC(C)=C1C,CCC1COC(C)C1C,62.303115,2,3.15
CCC1=COC(C)=C1O,CCC1COC(C)C1O,71.166803,2,3.1
COC1=COC(C)=C1C,COC1COC(C)C1C,66.28993675,2,3.1
COC1=COC(C)=C1O,COC1COC(C)C1O,73.05585025,2,3.05
CCC1=COC(C=O)=C1,CCC1COC(CO)C1,68.9325025,3,4.65
COC1=COC(C=O)=C1,COC1COC(CO)C1,72.91451083,3,4.58
OCC1=COC(C=O)=C1,OCC1COC(CO)C1,71.408349,3,4.58
CCC1=COC=C1C=O,CCC1COCC1CO,63.47583833,3,4.65
COC1=COC=C1C=O,COC1COCC1CO,67.95231583,3,4.58
OCC1=COC=C1C=O,OCC1COCC1CO,64.750081,3,4.58
CCC1=COC=C1CO,CCC1COCC1CO,67.65257125,2,3.1
CCC1=COC=C1OC,CCC1COCC1OC,69.728029,2,3.1
COC1=COC=C1CO,COC1COCC1CO,73.30396,2,3.05
COC1=COC=C1OC,COC1COCC1OC,72.448047,2,3.05
OCC1=COC=C1CO,OCC1COCC1CO,69.360459,2,3.05
CCC1=COC=CC1=O,CCC1COCCC1O,66.21335967,3,4.65
COC1=COC=CC1=O,COC1COCCC1O,70.38527917,3,4.58
OCC1=COC=CC1=O,OCC1COCCC1O,66.21948583,3,4.58
CC1=COC(CCO)=C1,CC1COC(CCO)C1,66.6693215,2,3.1
CCCC1=CC(C)=CO1,CCCC1CC(C)CO1,66.53148275,2,3.15
CCCC1=CC(O)=CO1,CCCC1CC(O)CO1,73.84875125,2,3.1
CCOC1=CC(C)=CO1,CCOC1CC(C)CO1,83.88078675,2,3.1
COCC1=CC(C)=CO1,COCC1CC(C)CO1,70.92919525,2,3.1
CC1=CC=C(CCO)O1,CC1CCC(CCO)O1,67.45828425,2,3.1
CCCC1=CC=C(C)O1,CCCC1CCC(C)O1,67.359828,2,3.15
CCOC1=CC=C(C)O1,CCOC1CCC(C)O1,80.26022225,2,3.1
COCC1=CC=C(C)O1,COCC1CCC(C)O1,71.723409,2,3.1
CCCC1=CC=CC=C1,CCCC1CCCCC1,61.16014733,3,4.79
CCOC1=CC=CC=C1,CCOC1CCCCC1,60.88622017,3,4.72
COCC1=CC=CC=C1,COCC1CCCCC1,64.62493217,3,4.72
OCCC1=CC=CC=C1,OCCC1CCCCC1,60.70243517,3,4.72
CC1=CC(CCO)=CO1,CC1CC(CCO)CO1,65.301436,2,3.1
CCCC1=COC(C)=C1,CCCC1COC(C)C1,66.21117175,2,3.15
CCOC1=COC(C)=C1,CCOC1COC(C)C1,70.58525475,2,3.1
COCC1=COC(C)=C1,COCC1COC(C)C1,71.5107435,2,3.1
CC1=COC=C1CCO,CC1COCC1CCO,62.68775075,2,3.1
CCCC1=COC=C1C,CCCC1COCC1C,61.4288235,2,3.15
CCOC1=COC=C1C,CCOC1COCC1C,69.87636975,2,3.1
COCC1=COC=C1C,COCC1COCC1C,66.89905275,2,3.1
CCCCC1=CC=CO1,CCCCC1CCCO1,67.5987485,2,3.15
CCCOC1=CC=CO1,CCCOC1CCCO1,86.053388,2,3.1
CCOCC1=CC=CO1,CCOCC1CCCO1,66.8741105,2,3.1
COCCC1=CC=CO1,COCCC1CCCO1,67.8350435,2,3.1
OCCCC1=CC=CO1,OCCCC1CCCO1,68.073964,2,3.1
OCCOC1=CC=CO1,OCCOC1CCCO1,87.02351025,2,3.05
C#CC#CC#CC1CC1,CCCCCCC1CC1,134.0974125,6,9.59
C#CC#CC#CC1CO1,CCCCCCC1CO1,137.6028926,6,9.44
C#CC#CC(C#C)C#C,CCCCC(CC)CC,144.2174023,8,12.58
C#CC#CC12CC(C1)C2,CCCCC12CC(C1)C2,137.0399416,4,6.5
C#CC#CC12CC(C1)O2,CCCCC12CC(C1)O2,141.9299354,4,6.39
C#CC#CC12CN(C1)C2,CCCCC12CN(C1)C2,137.8682869,4,6.44
C#CC#CC12CC1CC2,CCCCC12CC1CC2,135.3464941,4,6.5
C#CC#CC12CC1CO2,CCCCC12CC1CO2,140.1583793,4,6.39
C#CC#CC12CC1OC2,CCCCC12CC1OC2,136.2805157,4,6.39
C#CC#CC12CCC1O2,CCCCC12CCC1O2,140.3900796,4,6.39
C#CC#CC1=CCCC1,CCCCC1CCCC1,127.0400685,5,7.99
C#CC#CC1=CCOC1,CCCCC1CCOC1,129.5794521,5,7.87
C#CC#CC1C2CC1C2,CCCCC1C2CC1C2,134.388843,4,6.5
C#CC#CC1C2CC1O2,CCCCC1C2CC1O2,135.5781945,4,6.39
C#CC#CC1C2CCC12,CCCCC1C2CCC12,134.4295383,4,6.5
C#CC#CC1C2COC12,CCCCC1C2COC12,136.8666586,4,6.39
C#CC#CC1CC1C#C,CCCCC1CC1CC,138.0658557,6,9.59
C#CC#CC1OC1C#C,CCCCC1OC1CC,143.7360606,6,9.44
C#CC#CC1CC2CC12,CCCCC1CC2CC12,135.9017874,4,6.5
C#CC#CC1CC2OC12,CCCCC1CC2OC12,138.0356625,4,6.39
C#CC#CC1OC2CC12,CCCCC1OC2CC12,140.6683826,4,6.39
C#CC#CC1CC=CC1,CCCCC1CCCC1,130.1344828,5,7.99
C#CC#CC1CCC=C1,CCCCC1CCCC1,130.6328027,5,7.99
C#CC#CC1CCCC1,CCCCC1CCCC1,135.9943363,4,6.39
C#CC#CC1CCCO1,CCCCC1CCCO1,140.1774141,4,6.29
C#CC#CC1CCOC1,CCCCC1CCOC1,137.1449616,4,6.29
C#CC#CC1COCO1,CCCCC1COCO1,141.2341779,4,6.2
C#CC#CC1OCCO1,CCCCC1OCCO1,144.0126133,4,6.2
C#CC#CCC#CC#C,CCCCCCCCC,138.6201644,8,12.58
C#CC#CCC1CCC1,CCCCCC1CCC1,135.932637,4,6.39
C#CC#CCC1CCO1,CCCCCC1CCO1,137.7632669,4,6.29
C#CC#CCC1COC1,CCCCCC1COC1,136.5975449,4,6.29
C#CC#CCCC1CC1,CCCCCCC1CC1,135.8512465,4,6.39
C#CC#CCCC1CO1,CCCCCCC1CO1,136.4190109,4,6.29
C#CC#CCCN1CC1,CCCCCCN1CC1,136.0415953,4,6.34
C#CC#CCOC1CC1,CCCCCOC1CC1,140.2719321,4,6.29
C#CC(C#C)(C#C)C#C,CCC(CC)(CC)CC,151.4467165,8,12.58
C#CC(C#C)C1CCC1,CCC(CC)C1CCC1,142.7188981,4,6.39
C#CC(C#C)C1CCO1,CCC(CC)C1CCO1,145.0792226,4,6.29
C#CC(C#C)C1COC1,CCC(CC)C1COC1,144.5409951,4,6.29
C#CC(C1CC1)C1CC1,CCC(C1CC1)C1CC1,143.2170868,2,3.25
C#CC(C1CC1)C1CO1,CCC(C1CC1)C1CO1,142.186578,2,3.2
C#CC(C1CO1)C1CO1,CCC(C1CO1)C1CO1,139.9273353,2,3.15
C#CC(C1CO1)N1CC1,CCC(C1CO1)N1CC1,149.558982,2,3.17
C#CC1(C#C)C2CC1C2,CCC1(CC)C2CC1C2,139.440305,4,6.5
C#CC1(C#C)C2CC1O2,CCC1(CC)C2CC1O2,143.8524577,4,6.39
C#CC1(C#C)C2CCC12,CCC1(CC)C2CCC12,143.0648077,4,6.5
C#CC1(C#C)C2COC12,CCC1(CC)C2COC12,145.3975645,4,6.39
C#CC1(CC1)C1CCC1,CCC1(CC1)C1CCC1,135.743601,2,3.25
C#CC1(CC1)C1CCO1,CCC1(CC1)C1CCO1,139.4521197,2,3.2
C#CC1(CC1)C1COC1,CCC1(CC1)C1COC1,137.476431,2,3.2
C#CC1(CN1)C1CCO1,CCC1(CN1)C1CCO1,142.029048,2,3.17
C#CC1(CO1)C1CCC1,CCC1(CO1)C1CCC1,148.041443,2,3.2
C#CC1(CO1)C1CCO1,CCC1(CO1)C1CCO1,150.614433,2,3.15
C#CC1(CO1)C1COC1,CCC1(CO1)C1COC1,149.8241575,2,3.15
C#CC1(CC1)OC1CC1,CCC1(CC1)OC1CC1,146.460892,2,3.2
C#CC1(CC2CC2)CC1,CCC1(CC2CC2)CC1,138.106551,2,3.25
C#CC1(CC2CC2)CO1,CCC1(CC2CC2)CO1,147.994184,2,3.2
C#CC1(CC2CO2)CO1,CCC1(CC2CO2)CO1,148.0440685,2,3.15
C#CC1(CN2CC2)CC1,CCC1(CN2CC2)CC1,149.847787,2,3.22
C#CC1(CN2CC2)CO1,CCC1(CN2CC2)CO1,151.7368342,2,3.17
C#CC1(CCC1)C1CC1,CCC1(CCC1)C1CC1,135.801362,2,3.25
C#CC1(CCC1)C1CO1,CCC1(CCC1)C1CO1,141.9752253,2,3.2
C#CC1(CCO1)C1CC1,CCC1(CCO1)C1CC1,150.2324228,2,3.2
C#CC1(CCO1)C1CN1,CCC1(CCO1)C1CN1,152.604562,2,3.17
C#CC1(CCO1)C1CO1,CCC1(CCO1)C1CO1,145.5708475,2,3.15
C#CC1(COC1)C1CC1,CCC1(COC1)C1CC1,140.789812,2,3.2
C#CC1(COC1)C1CO1,CCC1(COC1)C1CO1,143.3168557,2,3.15
C#CC12C3C1C1C3CC21,CCC12C3C1C1C3CC21,141.1691967,2,3.36
C#CC12C3C1C1C3CN21,CCC12C3C1C1C3CN21,147.1028267,2,3.33
C#CC12C3C1C1C3OC21,CCC12C3C1C1C3OC21,142.8245745,2,3.3
C#CC12C3C1N1C3CC21,CCC12C3C1N1C3CC21,141.966036,2,3.33
C#CC12C3C1N1CC2C31,CCC12C3C1N1CC2C31,141.1442545,2,3.33
C#CC12C3C4C(CC14)N23,CCC12C3C4C(CC14)N23,148.3604413,2,3.33
C#CC12C3C4CC1C4N23,CCC12C3C4CC1C4N23,147.4559565,2,3.33
C#CC12C3C4OC1C4N23,CCC12C3C4OC1C4N23,148.8829158,2,3.28
C#CC12C3C1C1CC3C21,CCC12C3C1C1CC3C21,140.9972265,2,3.36
C#CC12C3C1C1CC3N21,CCC12C3C1C1CC3N21,147.385068,2,3.33
C#CC12C3C1C1OC3C21,CCC12C3C1C1OC3C21,142.1905162,2,3.3
C#CC12C3C1N1CC3C21,CCC12C3C1N1CC3C21,143.1081285,2,3.33
C#CC12C3C4CC(C14)N23,CCC12C3C4CC(C14)N23,147.7605145,2,3.33
C#CC12C3C4C1CC2N34,CCC12C3C4C1CC2N34,142.1432572,2,3.33
C#CC12C3C4C3C1CC24,CCC12C3C4C3C1CC24,141.6273465,2,3.36
C#CC12C3C4C3C1OC24,CCC12C3C4C3C1OC24,144.8028887,2,3.3
C#CC12C3C4C3N1CC24,CCC12C3C4C3N1CC24,148.2711743,2,3.33
C#CC12C3CC1C1C3N21,CCC12C3CC1C1C3N21,148.8054635,2,3.33
C#CC12C3OC1C1C3N21,CCC12C3OC1C1C3N21,150.525166,2,3.28
C#CC12C3CC1=CCC23,CCC12C3CC1CCC23,198.4956765,3,4.95
C#CC12C3CC1C=CC23,CCC12C3CC1CCC23,136.3045828,3,4.95
C#CC12C3CC1CC2C3,CCC12C3CC1CC2C3,140.611278,2,3.3
C#CC12C3CC1OC2C3,CCC12C3CC1OC2C3,142.5292058,2,3.25
C#CC12C3CN1CC2O3,CCC12C3CN1CC2O3,149.711261,2,3.22
C#CC12C3CC1CCC23,CCC12C3CC1CCC23,139.9522775,2,3.3
C#CC12C3CC1COC23,CCC12C3CC1COC23,141.5000097,2,3.25
C#CC12C3CC1OCC23,CCC12C3CC1OCC23,141.535454,2,3.25
C#CC12C3CCC1OC23,CCC12C3CCC1OC23,141.309661,2,3.25
C#CC12C3COC1CN23,CCC12C3COC1CN23,147.463833,2,3.22
C#CC12C3OC1COC23,CCC12C3OC1COC23,143.1501365,2,3.2
C#CC12C3C4CN1C2C34,CCC12C3C4CN1C2C34,147.3076158,2,3.33
C#CC12C3CC4C(C13)N24,CCC12C3CC4C(C13)N24,147.574104,2,3.33
C#CC12C3CC4C(C14)C23,CCC12C3CC4C(C14)C23,140.8882683,2,3.36
C#CC12C3C4CC1N2C34,CCC12C3C4CC1N2C34,147.4349525,2,3.33
C#CC12C3CC4C1N4C23,CCC12C3CC4C1N4C23,142.2719068,2,3.33
C#CC12C3CN4C(C13)C24,CCC12C3CN4C(C13)C24,141.257151,2,3.33
C#CC12C3OC4C(C14)C23,CCC12C3OC4C(C14)C23,142.113064,2,3.3
C#CC12C=CC3C1CC23,CCC12CCC3C1CC23,144.6773023,3,4.95
C#CC12C=CC3C1OC23,CCC12CCC3C1OC23,147.9871827,3,4.87
C#CC12C=CC3CC1C23,CCC12CCC3CC1C23,137.8571285,3,4.95
C#CC12C=CC3OC1C23,CCC12CCC3OC1C23,140.1290612,3,4.87
C#CC12CC(C1)C1CC21,CCC12CC(C1)C1CC21,142.3454207,2,3.3
C#CC12CC(C1)C1CN21,CCC12CC(C1)C1CN21,147.8117117,2,3.27
C#CC12CC(C1)C1OC21,CCC12CC(C1)C1OC21,142.947973,2,3.25
C#CC12CC(C1)N1CC21,CCC12CC(C1)N1CC21,143.2341525,2,3.27
C#CC12CC(O1)C1CC21,CCC12CC(O1)C1CC21,151.4782225,2,3.25
C#CC12CC(O1)C1NC21,CCC12CC(O1)C1NC21,152.0230137,2,3.22
C#CC12CC(O1)C1OC21,CCC12CC(O1)C1OC21,152.5021675,2,3.2
C#CC12CC(C1)C21CC1,CCC12CC(C1)C21CC1,143.1908318,2,3.3
C#CC12CC(C1)C21CO1,CCC12CC(C1)C21CO1,144.8409585,2,3.25
C#CC12CC(O1)C21CC1,CCC12CC(O1)C21CC1,151.969191,2,3.25
C#CC12CC(O1)C21CN1,CCC12CC(O1)C21CN1,151.59637,2,3.22
C#CC12CC(O1)C21CO1,CCC12CC(O1)C21CO1,153.1152218,2,3.2
C#CC12CN(C1)C21CC1,CCC12CN(C1)C21CC1,144.45501,2,3.27
C#CC12CC(C1)C=CC2,CCC12CC(C1)CCC2,129.2209838,3,4.87
C#CC12CC(C1)CC=C2,CCC12CC(C1)CCC2,130.11978,3,4.87
C#CC12CC(CC=C1)O2,CCC12CC(CCC1)O2,141.0243567,3,4.8
C#CC12CC(C1)CCC2,CCC12CC(C1)CCC2,141.7153008,2,3.25
C#CC12CC(C1)CCO2,CCC12CC(C1)CCO2,151.4112723,2,3.2
C#CC12CC(C1)COC2,CCC12CC(C1)COC2,142.2732195,2,3.2
C#CC12CC(C1)OCC2,CCC12CC(C1)OCC2,143.1186305,2,3.2
C#CC12CC(C1)OCO2,CCC12CC(C1)OCO2,152.5218588,2,3.15
C#CC12CC(CCC1)O2,CCC12CC(CCC1)O2,149.8937333,2,3.2
C#CC12CC(COC1)O2,CCC12CC(COC1)O2,150.4293353,2,3.15
C#CC12CN(C1)CCO2,CCC12CN(C1)CCO2,151.6606947,2,3.17
C#CC12CC1C1(CC1)C2,CCC12CC1C1(CC1)C2,141.2847187,2,3.3
C#CC12CC1C1(CC1)O2,CCC12CC1C1(CC1)O2,149.8622273,2,3.25
C#CC12CC1C1(CO1)C2,CCC12CC1C1(CO1)C2,142.5659628,2,3.25
C#CC12CC3(CC3)C1N2,CCC12CC3(CC3)C1N2,147.6764985,2,3.27
C#CC12CC3(CC3)C1O2,CCC12CC3(CC3)C1O2,149.8766675,2,3.25
C#CC12CC3(CN3)C1N2,CCC12CC3(CN3)C1N2,148.3171205,2,3.25
C#CC12CC3(CN3)C1O2,CCC12CC3(CN3)C1O2,150.4857835,2,3.22
C#CC12CC3(CO3)C1N2,CCC12CC3(CO3)C1N2,148.9314875,2,3.22
C#CC12CC3(CO3)C1O2,CCC12CC3(CO3)C1O2,151.0620807,2,3.2
C#CC12CC1C1CC1C2,CCC12CC1C1CC1C2,141.5787748,2,3.3
C#CC12CC1C1CC1O2,CCC12CC1C1CC1O2,149.3515675,2,3.25
C#CC12CC1C1OC1C2,CCC12CC1C1OC1C2,142.4714447,2,3.25
C#CC12CC3CC3C1O2,CCC12CC3CC3C1O2,149.3896373,2,3.25
C#CC12CC3NC3C1N2,CCC12CC3NC3C1N2,147.7880822,2,3.25
C#CC12CC3NC3C1O2,CCC12CC3NC3C1O2,149.4513365,2,3.22
C#CC12CC3OC3C1N2,CCC12CC3OC3C1N2,148.692567,2,3.22
C#CC12CC3OC3C1O2,CCC12CC3OC3C1O2,150.23111,2,3.2
C#CC12CN3CC3C1N2,CCC12CN3CC3C1N2,148.9721827,2,3.25
C#CC12CN3CC3C1O2,CCC12CN3CC3C1O2,150.5317297,2,3.22
C#CC12CC1C1CC2C1,CCC12CC1C1CC2C1,140.3316622,2,3.3
C#CC12CC1C1CC2O1,CCC12CC1C1CC2O1,143.4271268,2,3.25
C#CC12CN1C1CC2C1,CCC12CN1C1CC2C1,143.278786,2,3.27
C#CC12NC1C1CC2O1,CCC12NC1C1CC2O1,145.7139372,2,3.22
C#CC12OC1C1CC2C1,CCC12OC1C1CC2C1,147.8497815,2,3.25
C#CC12OC1C1CC2O1,CCC12OC1C1CC2O1,151.365326,2,3.2
C#CC12CC1C1CCC21,CCC12CC1C1CCC21,140.931589,2,3.3
C#CC12CC1C1COC21,CCC12CC1C1COC21,141.5603962,2,3.25
C#CC12CC1C1OCC21,CCC12CC1C1OCC21,142.123566,2,3.25
C#CC12CN1C1COC21,CCC12CN1C1COC21,146.8770338,2,3.22
C#CC12NC1C1COC21,CCC12NC1C1COC21,144.843584,2,3.22
C#CC12NC1C1OCC21,CCC12NC1C1OCC21,145.0667515,2,3.22
C#CC12OC1C1CCC21,CCC12OC1C1CCC21,149.1008323,2,3.25
C#CC12OC1C1COC21,CCC12OC1C1COC21,150.9308057,2,3.2
C#CC12OC1C1OCC21,CCC12OC1C1OCC21,150.1142752,2,3.2
C#CC12CC1C=CCC2,CCC12CC1CCCC2,127.5852973,3,4.87
C#CC12CC1C=CCO2,CCC12CC1CCCO2,135.6762132,3,4.8
C#CC12CCC=CC1O2,CCC12CCCCC1O2,136.153179,3,4.8
C#CC12CC1CC1CC21,CCC12CC1CC1CC21,141.5656473,2,3.3
C#CC12CC1CC1OC21,CCC12CC1CC1OC21,142.0999365,2,3.25
C#CC12CC1OC1CC21,CCC12CC1OC1CC21,142.638164,2,3.25
C#CC12CN1CC1NC21,CCC12CN1CC1NC21,147.5990462,2,3.25
C#CC12CN1CC1OC21,CCC12CN1CC1OC21,148.382758,2,3.22
C#CC12NC1CC1NC21,CCC12NC1CC1NC21,143.2604075,2,3.25
C#CC12NC1CC1OC21,CCC12NC1CC1OC21,144.880341,2,3.22
C#CC12NC1CN1CC21,CCC12NC1CN1CC21,145.0811918,2,3.25
C#CC12OC1CC1CC21,CCC12OC1CC1CC21,149.264926,2,3.25
C#CC12OC1CC1NC21,CCC12OC1CC1NC21,148.8120273,2,3.22
C#CC12OC1CC1OC21,CCC12OC1CC1OC21,149.453962,2,3.2
C#CC12OC1CN1CC21,CCC12OC1CN1CC21,150.3702615,2,3.22
C#CC12CC1CC21CC1,CCC12CC1CC21CC1,139.246018,2,3.3
C#CC12CC1CC21CO1,CCC12CC1CC21CO1,143.4350032,2,3.25
C#CC12CC1OC21CC1,CCC12CC1OC21CC1,140.800314,2,3.25
C#CC12CN1CC21CC1,CCC12CN1CC21CC1,145.2820425,2,3.27
C#CC12CN1CC21CN1,CCC12CN1CC21CN1,144.7792593,2,3.25
C#CC12CN1CC21CO1,CCC12CN1CC21CO1,149.2728025,2,3.22
C#CC12NC1CC21CC1,CCC12NC1CC21CC1,141.5485815,2,3.27
C#CC12NC1CC21CN1,CCC12NC1CC21CN1,141.0694277,2,3.25
C#CC12NC1CC21CO1,CCC12NC1CC21CO1,145.9213518,2,3.22
C#CC12OC1CC21CC1,CCC12OC1CC21CC1,147.0778845,2,3.25
C#CC12OC1CC21CN1,CCC12OC1CC21CN1,146.6564917,2,3.22
C#CC12OC1CC21CO1,CCC12OC1CC21CO1,151.2694952,2,3.2
C#CC12CC1CC=CC2,CCC12CC1CCCC2,127.8137158,3,4.87
C#CC12CC=CCC1O2,CCC12CCCCC1O2,134.8763108,3,4.8
C#CC12CC1CCC=C2,CCC12CC1CCCC2,131.495542,3,4.87
C#CC12CC1OCC=C2,CCC12CC1OCCC2,133.7727257,3,4.8
C#CC12CC1CCCC2,CCC12CC1CCCC2,141.845263,2,3.25
C#CC12CC1CCCO2,CCC12CC1CCCO2,150.3847017,2,3.2
C#CC12CC1CCOC2,CCC12CC1CCOC2,141.7126753,2,3.2
C#CC12CC1COCC2,CCC12CC1COCC2,143.4599455,2,3.2
C#CC12CC1COCO2,CCC12CC1COCO2,152.1149063,2,3.15
C#CC12CC1OCCC2,CCC12CC1OCCC2,143.0346145,2,3.2
C#CC12CC1OCCO2,CCC12CC1OCCO2,151.5412345,2,3.15
C#CC12CC1OCOC2,CCC12CC1OCOC2,143.2932262,2,3.15
C#CC12CCCCC1O2,CCC12CCCCC1O2,148.9511788,2,3.2
C#CC12CCOCC1N2,CCC12CCOCC1N2,145.4093793,2,3.17
C#CC12CCOCC1O2,CCC12CCOCC1O2,152.2645598,2,3.15
C#CC12CN1CCOC2,CCC12CN1CCOC2,147.579355,2,3.17
C#CC12COCCC1N2,CCC12COCCC1N2,147.5255323,2,3.17
C#CC12COCCC1O2,CCC12COCCC1O2,147.4546437,2,3.15
C#CC12CC3=CCC1C23,CCC12CC3CCC1C23,198.8930022,3,4.95
C#CC12CC3C(C1)C3C2,CCC12CC3C(C1)C3C2,141.220394,2,3.3
C#CC12CC3C(C1)C3O2,CCC12CC3C(C1)C3O2,150.5501083,2,3.25
C#CC12CC3C(C1)N3C2,CCC12CC3C(C1)N3C2,141.236147,2,3.27
C#CC12CC3C(O1)C3O2,CCC12CC3C(O1)C3O2,159.4912485,2,3.2
C#CC12CC3C(C=C1)C23,CCC12CC3C(CC1)C23,138.4679948,3,4.95
C#CC12CN3C(C=C1)C23,CCC12CN3C(CC1)C23,139.4044232,3,4.91
C#CC12CC3C(CC1)C23,CCC12CC3C(CC1)C23,142.9243435,2,3.3
C#CC12CC3C(CO1)C23,CCC12CC3C(CO1)C23,152.389271,2,3.25
C#CC12CC3C(OC1)C23,CCC12CC3C(OC1)C23,144.2003365,2,3.25
C#CC12CCC3C(O1)C23,CCC12CCC3C(O1)C23,151.6449418,2,3.25
C#CC12CN3C(CO1)C23,CCC12CN3C(CO1)C23,153.0390822,2,3.22
C#CC12COC3C(O1)C23,CCC12COC3C(O1)C23,153.0312058,2,3.2
C#CC12CC3C(C1)OC23,CCC12CC3C(C1)OC23,142.3769268,2,3.25
C#CC12CC3C(CC13)C2,CCC12CC3C(CC13)C2,141.719239,2,3.3
C#CC12CC3C(CC13)O2,CCC12CC3C(CC13)O2,150.7233913,2,3.25
C#CC12CC3CC1C3O2,CCC12CC3CC1C3O2,150.8152838,2,3.25
C#CC12CC3NC1C3O2,CCC12CC3NC1C3O2,149.8753547,2,3.22
C#CC12CC3OC1C3N2,CCC12CC3OC1C3N2,147.642367,2,3.22
C#CC12CC3OC1C3O2,CCC12CC3OC1C3O2,151.155286,2,3.2
C#CC12CN3C(CC13)C2,CCC12CN3C(CC13)C2,141.9319045,2,3.27
C#CC12CC3C1C=CC23,CCC12CC3C1CCC23,146.9991195,3,4.95
C#CC12CN3C1C=CC23,CCC12CN3C1CCC23,148.8212165,3,4.91
C#CC12OC3C1C=CC23,CCC12OC3C1CCC23,152.0934647,3,4.87
C#CC12CC3C1CCC23,CCC12CC3C1CCC23,142.1261915,2,3.3
C#CC12CC3C1COC23,CCC12CC3C1COC23,143.7645035,2,3.25
C#CC12CN3C1CCC23,CCC12CN3C1CCC23,143.116005,2,3.27
C#CC12OC3C1CCC23,CCC12OC3C1CCC23,150.8625428,2,3.25
C#CC12OC3C1COC23,CCC12OC3C1COC23,151.9179937,2,3.2
C#CC12CC3C1C1C2N31,CCC12CC3C1C1C2N31,143.2564693,2,3.33
C#CC12CC3C4C(C13)N24,CCC12CC3C4C(C13)N24,148.8789775,2,3.33
C#CC12CC3C4C(C14)C23,CCC12CC3C4C(C14)C23,142.1668868,2,3.36
C#CC12CC3C4C(C14)N23,CCC12CC3C4C(C14)N23,148.7096328,2,3.33
C#CC12CC3C4C1N4C23,CCC12CC3C4C1N4C23,143.7316847,2,3.33
C#CC12CN3C4C(C14)C23,CCC12CN3C4C(C14)C23,142.6631062,2,3.33
C#CC12OC3C4C(C14)C23,CCC12OC3C4C(C14)C23,151.848418,2,3.3
C#CC12OC3C4C1N4C23,CCC12OC3C4C1N4C23,153.4460348,2,3.28
C#CC12CC3C4C1C2N34,CCC12CC3C4C1C2N34,142.653917,2,3.33
C#CC12CC3C4C3C1C24,CCC12CC3C4C3C1C24,141.8071932,2,3.36
C#CC12CC3C4C3N1C24,CCC12CC3C4C3N1C24,148.1070805,2,3.33
C#CC12CN3C4C3C1C24,CCC12CN3C4C3C1C24,142.5292057,2,3.33
C#CC12OC3C4C3C1C24,CCC12OC3C4C3C1C24,150.761461,2,3.3
C#CC12CC3C=CC1C23,CCC12CC3CCC1C23,136.7867997,3,4.95
C#CC12OC3C=CC1C23,CCC12OC3CCC1C23,145.2986707,3,4.87
C#CC12CC3CC(C1)C23,CCC12CC3CC(C1)C23,142.1261915,2,3.3
