,unsat_SMILE,sat_SMILE,unsat_enthalpy,sat_enthalpy,nH2,pH2,delta_H
5193,O=C1C2(CC2)CC11CO1,OC1C2(CC2)CC11CO1,-421.30751,-422.495566,1,1.6,55.0121015
5194,O=C1C2(CC2)OC11CC1,OC1C2(CC2)OC11CC1,-421.303726,-422.491688,1,1.6,54.7653045
5195,O=C1C2(CN2)CC11CN1,OC1C2(CN2)CC11CN1,-417.477277,-418.662458,1,1.6,47.463789
5196,O=C1C2(CN2)CC11CO1,OC1C2(CN2)CC11CO1,-437.343396,-438.533724,1,1.59,60.9772375
5197,O=C1C2(CO2)CC11CO1,OC1C2(CO2)CC11CO1,-457.209089,-458.406541,1,1.57,79.6812995
5198,O=C1C2C3C1C1(CC1)N23,OC1C2C3C1C1(CC1)N23,-400.204778,-401.389778,1,1.64,46.9885735
5199,O=C1C2C3C2C2(CC2)C13,OC1C2C3C2C2(CC2)C13,-384.172892,-385.363139,1,1.65,60.764572
5200,O=C1C2C3C2C2(CN2)C13,OC1C2C3C2C2(CN2)C13,-400.212294,-401.405708,1,1.64,69.0795305
5201,O=C1C2C3C2C2(CO2)C13,OC1C2C3C2C2(CO2)C13,-420.085953,-421.279284,1,1.62,68.861614
5202,O=C1C2C3N2C1C31CC1,OC1C2C3N2C1C31CC1,-400.213268,-401.405808,1,1.64,66.7848435
5203,O=C1C2C3N2C1C31CN1,OC1C2C3N2C1C31CN1,-416.251794,-417.440482,1,1.62,56.6714175
5204,O=C1C2C3N2C1C31CO1,OC1C2C3N2C1C31CO1,-436.124595,-437.319839,1,1.61,73.8841955
5205,O=C1C2C3C2C2C3CC12,OC1C2C3C2C2C3CC12,-384.209465,-385.393311,1,1.65,43.9587465
5206,O=C1C2C3C2C2C3OC12,OC1C2C3C2C2C3OC12,-420.112288,-421.308323,1,1.62,75.960966
5207,O=C1C2C3C2N2C3CC12,OC1C2C3C2N2C3CC12,-400.24121,-401.426018,1,1.64,46.4844775
5208,O=C1C2C3C2N2CC1C32,OC1C2C3C2N2CC1C32,-400.238311,-401.42231,1,1.64,44.360448
5209,O=C1C2C3C4CC1C4N23,OC1C2C3C4CC1C4N23,-400.244813,-401.43193,1,1.64,52.546757
5210,O=C1C2C3C4OC1C4N23,OC1C2C3C4OC1C4N23,-436.145392,-437.344129,1,1.61,83.055067
5211,O=C1C2C3C2C2CC3C12,OC1C2C3C2C2CC3C12,-384.233341,-385.424822,1,1.65,64.004439
5212,O=C1C2C3C2C2OC3C12,OC1C2C3C2C2OC3C12,-420.13462,-421.326688,1,1.62,65.5456075
5213,O=C1C2C3C2N2CC3C12,OC1C2C3C2N2CC3C12,-400.252916,-401.446621,1,1.64,69.843551
5214,O=C1C2C3C4CC(C14)N23,OC1C2C3C4CC(C14)N23,-400.26651,-401.459592,1,1.64,68.2078645
5215,O=C1C2C3C4C1CC2N34,OC1C2C3C4C1CC2N34,-400.264937,-401.45885,1,1.64,70.389655
5216,O=C1C2C3C4C2CC1N34,OC1C2C3C4C2CC1N34,-400.259893,-401.455907,1,1.64,75.9058305
5217,O=C1C2C3C4C3C1CC24,OC1C2C3C4C3C1CC24,-384.226726,-385.420765,1,1.65,70.720468
5218,O=C1C2C3C4C3C1OC24,OC1C2C3C4C3C1OC24,-420.130223,-421.327314,1,1.62,78.733494
5219,O=C1C2C3C4C3N2CC14,OC1C2C3C4C3N2CC14,-400.252948,-401.448673,1,1.64,75.147061
5220,O=C1C2C3CC1C1C3N21,OC1C2C3CC1C1C3N21,-400.26096,-401.456881,1,1.64,75.661659
5221,O=C1C2C3OC1C1C3N21,OC1C2C3OC1C1C3N21,-436.16202,-437.367149,1,1.61,99.837263
5222,O=C1C2C3C4C1C2CN34,OC1C2C3C4C1C2CN34,-400.273326,-401.462616,1,1.64,58.2519685
5223,O=C1C2C3C4CC2C1C34,OC1C2C3C4CC2C1C34,-384.238464,-385.430274,1,1.65,64.8682285
5224,O=C1C2C3C4CC2C1N34,OC1C2C3C4CC2C1N34,-400.271096,-401.467891,1,1.64,77.956346
5225,O=C1C2C3C4CN2C1C34,OC1C2C3C4CN2C1C34,-400.266315,-401.459744,1,1.64,69.118913
5226,O=C1C2C3C4OC2C1C34,OC1C2C3C4OC2C1C34,-420.140533,-421.334019,1,1.62,69.2685665
5227,O=C1C2C3C1C(=O)CN23,OC1C2C3C1C(O)CN23,-436.189215,-438.562135,2,3.17,50.8218035
5228,O=C1C2C3CC(=O)C1C23,OC1C2C3CC(O)C1C23,-420.163276,-422.537911,2,3.2,53.07316975
5229,O=C1C2C3CC(=O)C1N23,OC1C2C3CC(O)C1N23,-436.196306,-438.575257,2,3.17,58.73899875
5230,O=C1C2C3C(CN23)C1=O,OC1C2C3C(CN23)C1O,-436.173423,-438.5659,2,3.17,76.49525525
5231,O=C1C2C3CC(C23)C1=O,OC1C2C3CC(C23)C1O,-420.146844,-422.535873,2,3.2,71.96889325
5232,O=C1C2C3OC(C23)C1=O,OC1C2C3OC(C23)C1O,-456.040779,-458.438883,2,3.15,83.8820995
5233,O=C1C2C3C=CC1CN23,OC1C2C3CCC1CN23,-400.291134,-402.685712,2,3.22,79.253343
5234,O=C1C2C3CC1C=CC23,OC1C2C3CC1CCC23,-384.262292,-386.656675,2,3.25,78.99735675
5235,O=C1C2C3CC1CCC23,OC1C2C3CC1CCC23,-385.469298,-386.656675,1,1.62,53.229387
5236,O=C1C2C3CC1CCN23,OC1C2C3CC1CCN23,-401.495637,-402.684835,1,1.61,58.0104225
5237,O=C1C2C3CC1COC23,OC1C2C3CC1COC23,-421.366745,-422.555084,1,1.6,55.755118
5238,O=C1C2C3CC1OCC23,OC1C2C3CC1OCC23,-421.366635,-422.559281,1,1.6,67.0631465
5239,O=C1C2C3CCC1CN23,OC1C2C3CCC1CN23,-401.498327,-402.685712,1,1.61,53.250391
5240,O=C1C2C3CCC1OC23,OC1C2C3CCC1OC23,-421.366657,-422.554998,1,1.6,55.760369
5241,O=C1C2C3COC1CN23,OC1C2C3COC1CN23,-437.394679,-438.591073,1,1.59,76.9035205
5242,O=C1C2C3COC1OC23,OC1C2C3COC1OC23,-457.271086,-458.466652,1,1.57,74.7296065
5243,O=C1C2C3NCC1OC23,OC1C2C3NCC1OC23,-437.395135,-438.583101,1,1.59,54.7758065
5244,O=C1C2C3OC1COC23,OC1C2C3OC1COC23,-457.2605,-458.455201,1,1.57,72.458549
5245,O=C1C2C3CC2C3C1=O,OC1C2C3CC2C3C1O,-420.131058,-422.521496,2,3.2,73.818558
5246,O=C1C2C3CN2C3C1=O,OC1C2C3CN2C3C1O,-436.146311,-438.546715,2,3.17,86.9014245
5247,O=C1C2C3OC2C3C1=O,OC1C2C3OC2C3C1O,-456.020963,-458.413897,2,3.15,77.095182
5248,O=C1C2C3CC1CC2O3,OC1C2C3CC1CC2O3,-421.367212,-422.562193,1,1.6,73.193689
5249,O=C1C2C3CC2CC1C3,OC1C2C3CC2CC1C3,-385.458553,-386.651553,1,1.62,67.9925735
5250,O=C1C2C3CC2OC1C3,OC1C2C3CC2OC1C3,-421.358348,-422.556786,1,1.6,82.2700425
5251,O=C1C2C3CC2OC1O3,OC1C2C3CC2OC1O3,-457.266597,-458.471043,1,1.57,98.0440465
5252,O=C1C2C3CN2CC1O3,OC1C2C3CN2CC1O3,-437.376971,-438.58203,1,1.59,99.653478
5253,O=C1C2C3CC4C(C23)C14,OC1C2C3CC4C(C23)C14,-384.252411,-385.43578,1,1.65,42.706383
5254,O=C1C2C3CC4C1N4C23,OC1C2C3CC4C1N4C23,-400.283221,-401.468136,1,1.64,46.765406
5255,O=C1C2C3CN4C(C23)C14,OC1C2C3CN4C(C23)C14,-400.281533,-401.466834,1,1.64,47.778849
5256,O=C1C2C3OC4C(C23)C14,OC1C2C3OC4C(C23)C14,-420.149963,-421.336248,1,1.62,50.362341
5257,O=C1C2C3CC4C3C1C24,OC1C2C3CC4C3C1C24,-384.200925,-385.392828,1,1.65,65.1124
5258,O=C1C2C3CC4C3C1N24,OC1C2C3CC4C3C1N24,-400.227807,-401.423299,1,1.64,74.5353195
5259,O=C1C2C3CN4C3C1C24,OC1C2C3CN4C3C1C24,-400.230685,-401.423079,1,1.64,66.4015205
5260,O=C1C2C3OC4C3C1C24,OC1C2C3OC4C3C1C24,-420.10745,-421.297913,1,1.62,61.33168
5261,O=C1C2C3CC4C1C2N34,OC1C2C3CC4C1C2N34,-400.213777,-401.401413,1,1.64,53.9093915
5262,O=C1C2C=CC11CCC21,OC1C2CCC11CCC21,-384.17439,-386.590204,2,3.25,107.130902
5263,O=C1C2C=CC11CCN21,OC1C2CCC11CCN21,-400.20831,-402.624979,2,3.22,108.2533033
5264,O=C1C2C=CC11COC21,OC1C2CCC11COC21,-420.072665,-422.491519,2,3.2,111.121662
5265,O=C1C2C=CC11OCC21,OC1C2CCC11OCC21,-420.065877,-422.489084,2,3.2,116.8360627
5266,O=C1C2C=CC1C1CC21,OC1C2CCC1C1CC21,-384.231883,-386.638919,2,3.25,95.6075825
5267,O=C1C2C=CC1C1NC21,OC1C2CCC1C1NC21,-400.269878,-402.679641,2,3.22,99.18745175
5268,O=C1C2C=CC1C1OC21,OC1C2CCC1C1OC21,-420.140608,-422.55178,2,3.2,101.0371165
5269,O=C1C2C=CC1N1CC21,OC1C2CCC1N1CC21,-400.26084,-402.669539,2,3.22,97.79068575
5270,O=C1C2C=CC1C21CC1,OC1C2CCC1C21CC1,-384.191694,-386.609576,2,3.25,109.845669
5271,O=C1C2C=CC1C21CN1,OC1C2CCC1C21CN1,-400.228831,-402.648052,2,3.22,111.6034412
5272,O=C1C2C=CC1C21CO1,OC1C2CCC1C21CO1,-420.10009,-422.520268,2,3.2,112.859743
5273,C#CC1C2C=CC1C2=O,CCC1C2CCC1C2O,-382.973954,-387.827835,4,6.39,121.7372149
5274,O=C1C2C=CC3CC2C13,OC1C2CCC3CC2C13,-384.215571,-386.619526,2,3.25,91.56299975
5275,O=C1C2C=CC3CN2C13,OC1C2CCC3CN2C13,-400.239148,-402.648446,2,3.22,98.577023
5276,O=C1C2C=CC3OC2C13,OC1C2CCC3OC2C13,-420.119001,-422.528284,2,3.2,98.55733175
5277,O=C1C2CC(C2)C11CC1,OC1C2CC(C2)C11CC1,-385.425636,-386.610803,1,1.62,47.427032
5278,O=C1C2CC(C2)C11CN1,OC1C2CC(C2)C11CN1,-401.463112,-402.649076,1,1.61,49.5195555
5279,O=C1C2CC(C2)C11CO1,OC1C2CC(C2)C11CO1,-421.328509,-422.521031,1,1.6,66.7375845
5280,O=C1C2CC(O2)C11CC1,OC1C2CC(O2)C11CC1,-421.323404,-422.512954,1,1.6,58.9345985
5281,O=C1C2CC(O2)C11CN1,OC1C2CC(O2)C11CN1,-437.358931,-438.550017,1,1.59,62.9673665
5282,O=C1C2CC(O2)C11CO1,OC1C2CC(O2)C11CO1,-457.223212,-458.420942,1,1.57,80.4111885
5283,O=C1C2CC11CCC1C2,OC1C2CC11CCC1C2,-385.401658,-386.587288,1,1.62,48.6426385
5284,O=C1C2CC11CCC1O2,OC1C2CC11CCC1O2,-421.295853,-422.487463,1,1.6,64.3431285
5285,O=C1C2CC11COC1C2,OC1C2CC11COC1C2,-421.296242,-422.486296,1,1.6,60.2578505
5286,O=C1C2CC11OCC1C2,OC1C2CC11OCC1C2,-421.2943,-422.485386,1,1.6,62.9673665
5287,O=C1C2CC11OCC1O2,OC1C2CC11OCC1O2,-457.183732,-458.38139,1,1.57,80.2221525
5288,O=C1C2CC3CCC13O2,OC1C2CC3CCC13O2,-421.294666,-422.492292,1,1.6,80.1381365
5289,O=C1C2CC3OCC13N2,OC1C2CC3OCC13N2,-437.323069,-438.515981,1,1.59,67.7615295
5290,O=C1C2CC3OCC13O2,OC1C2CC3OCC13O2,-457.182945,-458.381078,1,1.57,81.469265
5291,O=C1C2CC1C(=O)C=C2,OC1C2CC1C(O)CC2,-420.176293,-423.75585,3,4.72,68.48004133
5292,O=C1C2CC1C(=O)CC2,OC1C2CC1C(O)CC2,-421.382021,-423.75585,2,3.15,52.01509325
5293,O=C1C2CC1C(=O)CO2,OC1C2CC1C(O)CO2,-457.273091,-459.655437,2,3.1,63.195785
5294,O=C1C2CCC(=O)C1O2,OC1C2CCC(O)C1O2,-457.281685,-459.667058,2,3.1,67.16947925
5295,O=C1C2CC1C1(CC1)C2,OC1C2CC1C1(CC1)C2,-385.418138,-386.605714,1,1.62,53.7518615
5296,O=C1C2CC1C1(CC1)O2,OC1C2CC1C1(CC1)O2,-421.313355,-422.507844,1,1.6,71.901943
5297,O=C1C2CC1C1(CO1)C2,OC1C2CC1C1(CO1)C2,-421.32816,-422.518761,1,1.6,61.693999
5298,O=C1C2CC3(CC3)C1O2,OC1C2CC3(CC3)C1O2,-421.316941,-422.51532,1,1.6,82.115138
5299,O=C1C2CC3(CN3)C1O2,OC1C2CC3(CN3)C1O2,-437.353663,-438.555938,1,1.59,92.344086
5300,O=C1C2CC3(CO3)C1O2,OC1C2CC3(CO3)C1O2,-457.224863,-458.4277,1,1.57,93.819617
5301,O=C1C2CC1C1CC1C2,OC1C2CC1C1CC1C2,-385.43176,-386.616382,1,1.62,45.9961345
5302,O=C1C2CC1C1CC1O2,OC1C2CC1C1CC1O2,-421.322997,-422.513622,1,1.6,61.757011
5303,O=C1C2CC1C1CN1C2,OC1C2CC1C1CN1C2,-401.459037,-402.644425,1,1.61,48.0072675
5304,O=C1C2CC1C1OC1C2,OC1C2CC1C1OC1C2,-421.342746,-422.531124,1,1.6,55.8575125
5305,O=C1C2CC1N1CC1C2,OC1C2CC1N1CC1C2,-401.458209,-402.644711,1,1.61,50.9320745
5306,O=C1C2CC3CC3C1O2,OC1C2CC3CC3C1O2,-421.335085,-422.52333,1,1.6,55.508321
5307,O=C1C2CC3NC3C1O2,OC1C2CC3NC3C1O2,-437.374163,-438.573764,1,1.59,85.323499
5308,O=C1C2CC3OC3C1O2,OC1C2CC3OC3C1O2,-457.244454,-458.442681,1,1.57,81.716062
5309,O=C1C2CN3CC3C1O2,OC1C2CN3CC3C1O2,-437.360064,-438.550101,1,1.59,60.213217
5310,O=C1C2CC1C1CC2C1,OC1C2CC1C1CC2C1,-385.402503,-386.579339,1,1.62,25.5539915
5311,O=C1C2CC1C1CC2O1,OC1C2CC1C1CC2O1,-421.31119,-422.494002,1,1.6,41.2439795
5312,O=C1C2NC1C1CC2O1,OC1C2NC1C1CC2O1,-437.344158,-438.535014,1,1.59,62.3635015
5313,O=C1C2OC1C1CC2C1,OC1C2OC1C1CC2C1,-421.310266,-422.497782,1,1.6,53.5943315
5314,O=C1C2OC1C1CC2O1,OC1C2OC1C1CC2O1,-457.217351,-458.407726,1,1.57,61.100636
5315,O=C1C2CC1C1CCC21,OC1C2CC1C1CCC21,-385.421854,-386.606426,1,1.62,45.8648595
5316,O=C1C2CC1C1OCC21,OC1C2CC1C1OCC21,-421.328711,-422.517696,1,1.6,57.451191
5317,O=C1C2OC1C1CCC21,OC1C2OC1C1CCC21,-421.319958,-422.513838,1,1.6,70.3030135
5318,O=C1C2OC1C1OCC21,OC1C2OC1C1OCC21,-457.224783,-458.420756,1,1.57,75.798185
5319,O=C1C2CC1C=CC=C2,OC1C2CC1CCCC2,-384.23572,-387.83926,3,4.8,89.4691635
5320,O=C1C2CC1C=CCC2,OC1C2CC1CCCC2,-385.440782,-387.83926,2,3.2,84.373068
5321,O=C1C2CCC=CC1O2,OC1C2CCCCC1O2,-421.347756,-423.752537,2,3.15,92.64733125
5322,O=C1C2CC(=O)CC1O2,OC1C2CC(O)CC1O2,-457.285994,-459.672267,2,3.1,68.35095425
5323,O=C1C2CC1CC(=O)C2,OC1C2CC1CC(O)C2,-421.382155,-423.754515,2,3.15,50.0866635
5324,O=C1C2CC1CC=CC2,OC1C2CC1CCCC2,-385.447722,-387.83926,2,3.2,75.262583
5325,O=C1C2CC=CCC1O2,OC1C2CCCCC1O2,-421.355143,-423.752537,2,3.15,82.950047
5326,O=C1C2CC1CCCC2,OC1C2CC1CCCC2,-386.654862,-387.83926,1,1.6,45.4080225
5327,O=C1C2CC1COCC2,OC1C2CC1COCC2,-422.557948,-423.742876,1,1.57,46.7995375
5328,O=C1C2CC1OCCC2,OC1C2CC1OCCC2,-422.550586,-423.741153,1,1.57,61.604732
5329,O=C1C2CC1OCCO2,OC1C2CC1OCCO2,-458.446023,-459.640025,1,1.55,70.6233245
5330,O=C1C2CC1OCOC2,OC1C2CC1OCOC2,-458.461427,-459.65263,1,1.55,63.27455
5331,O=C1C2CCCCC1O2,OC1C2CCCCC1O2,-422.564306,-423.752537,1,1.57,55.471564
5332,O=C1C2CCOCC1O2,OC1C2CCOCC1O2,-458.464825,-459.661969,1,1.55,78.8726455
5333,O=C1C2CC2C11CCC1,OC1C2CC2C11CCC1,-385.40379,-386.590044,1,1.62,50.2809505
5334,O=C1C2CC2C11CCO1,OC1C2CC2C11CCO1,-421.309558,-422.500948,1,1.6,63.7655185
5335,O=C1C2CC2C11COC1,OC1C2CC2C11COC1,-421.306046,-422.49296,1,1.6,52.0137805
5336,O=C1C2CN2C11CCC1,OC1C2CN2C11CCC1,-401.439436,-402.626056,1,1.61,51.2418835
5337,O=C1C2CN2C11COC1,OC1C2CN2C11COC1,-437.339146,-438.527834,1,1.59,56.6714175
5338,O=C1C2NC2C11CCC1,OC1C2NC2C11CCC1,-401.433516,-402.627628,1,1.61,70.9121295
5339,O=C1C2NC2C11CCO1,OC1C2NC2C11CCO1,-437.338839,-438.538175,1,1.59,84.6277415
5340,O=C1C2NC2C11COC1,OC1C2NC2C11COC1,-437.335698,-438.530802,1,1.59,73.5166255
5341,O=C1C2OC2C11CCC1,OC1C2OC2C11CCC1,-421.302408,-422.497162,1,1.6,72.5977005
5342,O=C1C2OC2C11CCO1,OC1C2OC2C11CCO1,-457.207405,-458.4067,1,1.57,84.520096
5343,O=C1C2OC2C11COC1,OC1C2OC2C11COC1,-457.203704,-458.399347,1,1.57,74.93177
5344,O=C1C2CC2C1C1CC1,OC1C2CC2C1C1CC1,-385.397534,-386.582324,1,1.62,46.4372185
5345,O=C1C2CC2C1C1CO1,OC1C2CC2C1C1CO1,-421.305301,-422.490007,1,1.6,46.2166765
5346,O=C1C2CC2C1N1CC1,OC1C2CC2C1N1CC1,-401.426879,-402.616221,1,1.61,58.3884945
5347,O=C1C2CN2C1C1CC1,OC1C2CN2C1C1CC1,-401.429136,-402.61554,1,1.61,50.6747755
5348,O=C1C2CN2C1C1CN1,OC1C2CN2C1C1CN1,-417.46439,-418.651246,1,1.6,51.8615015
5349,O=C1C2CN2C1C1CO1,OC1C2CN2C1C1CO1,-437.334204,-438.520994,1,1.59,51.6882185
5350,O=C1C2NC2C1C1CC1,OC1C2NC2C1C1CC1,-401.428267,-402.621785,1,1.61,69.3525825
5351,O=C1C2NC2C1C1CO1,OC1C2NC2C1C1CO1,-437.336593,-438.529975,1,1.59,68.9955145
5352,O=C1C2NC2C1N1CC1,OC1C2NC2C1N1CC1,-417.45155,-418.646966,1,1.6,74.3357815
5353,O=C1C2OC2C1C1CC1,OC1C2OC2C1C1CC1,-421.29708,-422.491458,1,1.6,71.6105125
5354,O=C1C2OC2C1C1CN1,OC1C2OC2C1C1CN1,-437.332503,-438.527087,1,1.59,72.1513655
5355,O=C1C2OC2C1C1CO1,OC1C2OC2C1C1CO1,-457.204842,-458.399009,1,1.57,71.056532
5356,O=C1C2OC2C1N1CC1,OC1C2OC2C1N1CC1,-437.32124,-438.516881,1,1.59,74.926519
5357,O=C1C2CC2C2CC1C2,OC1C2CC2C2CC1C2,-385.432529,-386.618452,1,1.62,49.41191
5358,O=C1C2CC2C2CC1O2,OC1C2CC2C2CC1O2,-421.334818,-422.525152,1,1.6,60.9929905
5359,O=C1C2CN2C2CC1C2,OC1C2CN2C2CC1C2,-401.460364,-402.646994,1,1.61,51.2681385
5360,O=C1C2NC2C2CC1C2,OC1C2NC2C2CC1C2,-401.469908,-402.662967,1,1.61,68.147478
5361,O=C1C2NC2C2CC1O2,OC1C2NC2C2CC1O2,-437.371677,-438.569038,1,1.59,79.442379
5362,O=C1C2OC2C2CC1C2,OC1C2OC2C2CC1C2,-421.339074,-422.533224,1,1.6,71.0118985
5363,O=C1C2OC2C2CC1O2,OC1C2OC2C2CC1O2,-457.239483,-458.434176,1,1.57,72.437545
5364,O=C1C2CC2C2CCC12,OC1C2CC2C2CCC12,-385.431409,-386.615294,1,1.62,44.061141
5365,O=C1C2CC2C2COC12,OC1C2CC2C2COC12,-421.334722,-422.528103,1,1.6,68.992889
5366,O=C1C2CC2C2OCC12,OC1C2CC2C2OCC12,-421.339325,-422.523482,1,1.6,44.775277
5367,O=C1C2CN2C2CCC12,OC1C2CN2C2CCC12,-401.459531,-402.645321,1,1.61,49.0627185
5368,O=C1C2CN2C2COC12,OC1C2CN2C2COC12,-437.361525,-438.556458,1,1.59,73.067665
5369,O=C1C2NC2C2CCC12,OC1C2NC2C2CCC12,-401.468652,-402.659404,1,1.61,62.0904495
5370,O=C1C2NC2C2COC12,OC1C2NC2C2COC12,-437.367452,-438.567333,1,1.59,86.058639
5371,O=C1C2NC2C2OCC12,OC1C2NC2C2OCC12,-437.372651,-438.564737,1,1.59,65.5928665
5372,O=C1C2OC2C2CCC12,OC1C2OC2C2CCC12,-421.338933,-422.530659,1,1.6,64.6476865
5373,O=C1C2OC2C2COC12,OC1C2OC2C2COC12,-457.237417,-458.438471,1,1.57,89.1383505
5374,O=C1C2OC2C2OCC12,OC1C2OC2C2OCC12,-457.241701,-458.434498,1,1.57,67.459597
5375,O=C1C2CC2CC11CC1,OC1C2CC2CC11CC1,-385.438061,-386.619754,1,1.62,38.306045
5376,O=C1C2CC2CC11CN1,OC1C2CC2CC11CN1,-401.476595,-402.65854,1,1.61,38.967671
5377,O=C1C2CC2CC11CO1,OC1C2CC2CC11CO1,-421.339745,-422.528888,1,1.6,57.86602
5378,O=C1C2CC2OC11CC1,OC1C2CC2OC11CC1,-421.333339,-422.51783,1,1.6,45.652194
5379,O=C1C2CN2CC11CN1,OC1C2CN2CC11CN1,-417.502507,-418.685885,1,1.6,42.7300125
5380,O=C1C2CN2CC11CO1,OC1C2CN2CC11CO1,-437.365281,-438.555233,1,1.59,59.9900495
5381,O=C1C2NC2CC11CC1,OC1C2NC2CC11CC1,-401.472462,-402.658947,1,1.61,50.887441
5382,O=C1C2NC2CC11CN1,OC1C2NC2CC11CN1,-417.510909,-418.698044,1,1.6,52.594016
5383,O=C1C2NC2CC11CO1,OC1C2NC2CC11CO1,-437.374836,-438.568933,1,1.59,70.872747
5384,O=C1C2OC2CC11CC1,OC1C2OC2CC11CC1,-421.342606,-422.529853,1,1.6,52.888072
5385,O=C1C2OC2CC11CN1,OC1C2OC2CC11CN1,-437.380521,-438.568553,1,1.59,54.9490895
5386,O=C1C2OC2CC11CO1,OC1C2OC2CC11CO1,-457.244267,-458.439124,1,1.57,72.868127
5387,O=C1C2CC2CC2CC12,OC1C2CC2CC2CC12,-385.431952,-386.612194,1,1.62,34.4964445
5388,O=C1C2CC2CC2NC12,OC1C2CC2CC2NC12,-401.474569,-402.65577,1,1.61,37.014299
5389,O=C1C2CC2CC2OC12,OC1C2CC2CC2OC12,-421.345504,-422.524521,1,1.6,31.280207
5390,O=C1C2CC2CN2CC12,OC1C2CC2CN2CC12,-401.456392,-402.637645,1,1.61,37.150825
5391,O=C1C2CC2OC2CC12,OC1C2CC2OC2CC12,-421.32522,-422.508902,1,1.6,43.5281645
5392,O=C1C2NC2CC2NC12,OC1C2NC2CC2NC12,-417.505612,-418.698361,1,1.6,67.333573
5393,O=C1C2NC2CC2OC12,OC1C2NC2CC2OC12,-437.377216,-438.570915,1,1.59,69.827798
5394,O=C1C2OC2CC2OC12,OC1C2OC2CC2OC12,-457.247782,-458.442484,1,1.57,72.4611745
5395,O=C1C2CC3(C2)OCC13,OC1C2CC3(C2)OCC13,-421.300713,-422.490592,1,1.6,59.798388
5396,O=C1C2CC3(CCC13)C2,OC1C2CC3(CCC13)C2,-385.402255,-386.591374,1,1.62,57.803008
5397,O=C1C2CC3(CCC13)O2,OC1C2CC3(CCC13)O2,-421.30898,-422.501719,1,1.6,67.307318
5398,O=C1C2CC3(COC13)C2,OC1C2CC3(COC13)C2,-421.293763,-422.488345,1,1.6,72.1461145
5399,O=C1C2CC3(COC13)O2,OC1C2CC3(COC13)O2,-457.196525,-458.395067,1,1.57,82.5430945
5400,O=C1C2CC3C2C=CC13,OC1C2CC3C2CCC13,-384.237605,-386.642202,2,3.25,92.40578525
5401,O=C1C2OC3C2C=CC13,OC1C2OC3C2CCC13,-420.134823,-422.549369,2,3.2,105.466335
5402,O=C1C2CC3C2CCC13,OC1C2CC3C2CCC13,-385.455041,-386.642202,1,1.62,52.662279
5403,O=C1C2CC3C2COC13,OC1C2CC3C2COC13,-421.353281,-422.546738,1,1.6,69.192427
5404,O=C1C2CC3C2OCC13,OC1C2CC3C2OCC13,-421.359446,-422.548611,1,1.6,57.923781
5405,O=C1C2OC3C2CCC13,OC1C2OC3C2CCC13,-421.351782,-422.549369,1,1.6,80.035742
5406,O=C1C2OC3C2COC13,OC1C2OC3C2COC13,-457.247817,-458.450581,1,1.57,93.6279555
5407,O=C1C2OC3C2OCC13,OC1C2OC3C2OCC13,-457.254208,-458.45391,1,1.57,85.5886745
5408,O=C1C2CC3C4C1C2N34,OC1C2CC3C4C1C2N34,-400.246534,-401.435478,1,1.64,57.3435455
5409,O=C1C2CC3C4C2C1N34,OC1C2CC3C4C2C1N34,-400.23732,-401.428486,1,1.64,63.1774065
5410,O=C1C2CC3C4C3N2C14,OC1C2CC3C4C3N2C14,-400.237919,-401.429634,1,1.64,64.618806
5411,O=C1C2CC3C=CC1C23,OC1C2CC3CCC1C23,-384.22786,-386.622424,2,3.25,79.2349645
5412,O=C1C2CC3C=CC1N23,OC1C2CC3CCC1N23,-400.261588,-402.657526,2,3.22,81.038683
5413,O=C1C2CC3C=CC2C13,OC1C2CC3CCC2C13,-384.235451,-386.645187,2,3.25,99.1520075
5414,O=C1C2OC3C=CC2C13,OC1C2OC3CCC2C13,-420.132203,-422.553434,2,3.2,114.2420687
5415,O=C1C2CC3CC1CC23,OC1C2CC3CC1CC23,-385.463989,-386.651814,1,1.62,54.405611
5416,O=C1C2CC3CC1OC23,OC1C2CC3CC1OC23,-421.369572,-422.562203,1,1.6,67.023764
5417,O=C1C2CC3OC1CC23,OC1C2CC3OC1CC23,-421.364847,-422.559359,1,1.6,71.9623295
5418,O=C1C2CC3OC1OC23,OC1C2CC3OC1OC23,-457.276086,-458.473618,1,1.57,79.8913395
5419,O=C1C2OC3CC1CC23,OC1C2OC3CC1CC23,-421.366464,-422.565729,1,1.6,84.441331
5420,O=C1C2OC3CC1OC23,OC1C2OC3CC1OC23,-457.270557,-458.467115,1,1.57,77.3341025
5421,O=C1C2CC3CC1C2O3,OC1C2CC3CC1C2O3,-421.375441,-422.566262,1,1.6,62.271609
5422,O=C1C2CC3CC2C1O3,OC1C2CC3CC2C1O3,-421.366416,-422.564258,1,1.6,80.7052445
5423,O=C1C2OC3CC2C1O3,OC1C2OC3CC2C1O3,-457.27228,-458.477194,1,1.57,99.2727805
5424,O=C1C2CC3CC2CC13,OC1C2CC3CC2CC13,-385.455617,-386.63944,1,1.62,43.89836
5425,O=C1C2CC3CC2OC13,OC1C2CC3CC2OC13,-421.360974,-422.551594,1,1.6,61.7438835
5426,O=C1C2CC3OC2CC13,OC1C2CC3OC2CC13,-421.365407,-422.551635,1,1.6,50.2126875
5427,O=C1C2CC3OC2OC13,OC1C2CC3OC2OC13,-457.272892,-458.465718,1,1.57,67.5357365
